Zip,State,City,County,TypeCode,RuralCode
20744,MD,Fort Washington,Prince George's,,S
20745,MD,Oxon Hill,Prince George's,,U
20746,MD,Suitland,Prince George's,,U
20747,MD,District Heights,Prince George's,,U
20748,MD,Temple Hills,Prince George's,,U
20749,MD,Fort Washington,Prince George's,e,S
20750,MD,Oxon Hill,Prince George's,e,U
20751,MD,Deale,Anne Arundel,,R
20752,MD,Suitland,Prince George's,e,U
20753,MD,District Heights,Prince George's,e,U
20754,MD,Dunkirk,Calvert,,R
20755,MD,Fort George G Meade,Anne Arundel,,S
20757,MD,Temple Hills,Prince George's,e,U
20758,MD,Friendship,Anne Arundel,,R
20759,MD,Fulton,Howard,,S
20762,MD,Andrews AFB,Prince George's,,S
20763,MD,Savage,Howard,,S
20764,MD,Shady Side,Anne Arundel,,R
20765,MD,Galesville,Anne Arundel,e,R
20768,MD,Greenbelt,Prince George's,e,U
20769,MD,Glenn Dale,Prince George's,,S
20770,MD,Greenbelt,Prince George's,,U
20771,MD,Greenbelt,Prince George's,b,U
20772,MD,Upper Marlboro,Prince George's,,S
20773,MD,Upper Marlboro,Prince George's,e,S
20774,MD,Upper Marlboro,Prince George's,,S
20775,MD,Upper Marlboro,Prince George's,e,R
20776,MD,Harwood,Anne Arundel,,S
20777,MD,Highland,Howard,,S
20778,MD,West River,Anne Arundel,,R
20779,MD,Tracys Landing,Anne Arundel,,R
20781,MD,Hyattsville,Prince George's,,U
20782,MD,Hyattsville,Prince George's,,U
20783,MD,Hyattsville,Prince George's,,U
20784,MD,Hyattsville,Prince George's,,U
20785,MD,Hyattsville,Prince George's,,U
20787,MD,Hyattsville,Prince George's,e,U
20788,MD,Hyattsville,Prince George's,e,U
20790,MD,Capitol Heights,Prince George's,b,U
20791,MD,Capitol Heights,Prince George's,e,U
20792,MD,Upper Marlboro,Prince George's,e,S
20794,MD,Jessup,Howard,,S
20797,MD,Southern MD Facility,Prince George's,b,U
20799,MD,Capitol Heights,Prince George's,b,U
20810,MD,Bethesda,Montgomery,b,U
20811,MD,Bethesda,Montgomery,b,U
20812,MD,Glen Echo,Montgomery,,S
20813,MD,Bethesda,Montgomery,e,U
20814,MD,Bethesda,Montgomery,,U
20815,MD,Chevy Chase,Montgomery,,U
20816,MD,Bethesda,Montgomery,,U
20817,MD,Bethesda,Montgomery,,U
20818,MD,Cabin John,Montgomery,,S
20824,MD,Bethesda,Montgomery,e,U
20825,MD,Chevy Chase,Montgomery,e,U
20827,MD,Bethesda,Montgomery,e,U
20830,MD,Olney,Montgomery,e,S
20832,MD,Olney,Montgomery,,S
20833,MD,Brookeville,Montgomery,,S
20837,MD,Poolesville,Montgomery,,R
20838,MD,Barnesville,Montgomery,,R
20839,MD,Beallsville,Montgomery,,R
20841,MD,Boyds,Montgomery,,S
20842,MD,Dickerson,Montgomery,,R
20847,MD,Rockville,Montgomery,e,U
20848,MD,Rockville,Montgomery,e,U
20849,MD,Rockville,Montgomery,e,U
20850,MD,Rockville,Montgomery,,U
20851,MD,Rockville,Montgomery,,U
20852,MD,Rockville,Montgomery,,U
20853,MD,Rockville,Montgomery,,S
20854,MD,Potomac,Montgomery,,S
20855,MD,Derwood,Montgomery,,S
