Zip,State,City,County,TypeCode,RuralCode
19196,PA,Philadelphia,Philadelphia,b,U
19197,PA,Philadelphia,Philadelphia,b,U
19244,PA,Philadelphia,Philadelphia,b,U
19255,PA,Philadelphia,Philadelphia,b,U
19301,PA,Paoli,Chester,,S
19310,PA,Atglen,Chester,,R
19311,PA,Avondale,Chester,,R
19312,PA,Berwyn,Chester,,S
19316,PA,Brandamore,Chester,e,R
19317,PA,Chadds Ford,Delaware,,S
19318,PA,Chatham,Chester,e,R
19319,PA,Cheyney,Delaware,,S
19320,PA,Coatesville,Chester,,S
19330,PA,Cochranville,Chester,,R
19331,PA,Concordville,Delaware,e,S
19333,PA,Devon,Chester,,S
19335,PA,Downingtown,Chester,,S
19339,PA,Concordville,Delaware,b,S
